name,tasks_completed,hours_worked,productivity
Emp18,730,1896.8,0.385
Emp16,698,1868.2,0.374
Emp6,731,1993.2,0.367
Emp11,727,2003.3,0.363
Emp8,702,1940.5,0.362
Emp13,691,1987.3,0.348
Emp2,660,1900.5,0.347
Emp23,668,1974.3,0.338
Emp5,649,1982.8,0.327
Emp30,672,2058.5,0.326
Emp14,661,2042.2,0.324
Emp1,627,1947.9,0.322
Emp29,652,2056.7,0.317
Emp25,621,1980.5,0.314
Emp15,600,1954.6,0.307
Emp12,591,1941.8,0.304
Emp19,612,2029.2,0.302
Emp9,593,1965.7,0.302
Emp4,630,2090.6,0.301
Emp7,600,1997.9,0.3
Emp20,587,1962.4,0.299
Emp21,586,1964.1,0.298
Emp26,580,2046.9,0.283
Emp24,554,1963.9,0.282
Emp22,544,1974.6,0.275
Emp17,558,2041.8,0.273
Emp28,550,2024.3,0.272
Emp10,534,2004.3,0.266
Emp27,536,2042.6,0.262
Emp3,516,2013.4,0.256
